first_pokemon,second_pokemon,winner,first_pokemon_name,second_pokemon_name,winner_name
89,442,442,Magnemite,Starly,Starly
72,26,72,Mega Alakazam,Raticate,Mega Alakazam
522,593,522,Leafeon,Timburr,Leafeon
532,137,137,Rotom,Pinsir,Pinsir
162,758,162,Dragonite,Malamar,Dragonite
509,454,454,Mantyke,Cranidos,Cranidos
418,711,418,Latias,Kyurem,Latias
663,586,663,Klinklang,Gigalith,Klinklang
487,117,117,Bonsly,Lickitung,Lickitung
604,434,604,Venipede,  Grotle  ,Venipede
54,196,196,Venonat,Ampharos,Ampharos
141,415,141,Gyarados,Regirock,Gyarados
338,527,527,Electrike,Gallade,Gallade
232,244,232,Heracross,Delibird,Heracross
375,266,375,Crawdaunt,Larvitar,Crawdaunt
326,636,326,Delcatty,Gothita,Delcatty
174,378,174,Croconaw,Lileep,Croconaw
744,576,576,Pangoro,Simipour,Simipour
544,664,544,Regigigas,Tynamo,Regigigas
328,201,201,Mega Sableye,Sudowoodo,Sudowoodo
375,759,375,Crawdaunt,Binacle,Crawdaunt
231,604,604,Shuckle,Venipede,Venipede
611,656,611,Basculin,Alomomola,Basculin
552,218,552,Shaymin Sky Forme,Wobbuffet,Shaymin Sky Forme
383,480,480,Milotic,Glameow,Glameow
669,184,184,Litwick,Crobat,Crobat
564,185,185,Patrat,Chinchou,Chinchou
396,724,724,Snorunt,Delphox,Delphox
607,156,156,Cottonee,Snorlax,Snorlax
548,124,124,Phione,Kangaskhan,Kangaskhan
608,74,608,Whimsicott,Machoke,Whimsicott
244,601,244,Delibird,Sewaddle,Delibird
690,424,424,Braviary,Groudon,Groudon
145,751,751,Eevee,Aegislash Blade Forme,Aegislash Blade Forme
190,483,483,Togepi,Stunky,Stunky
654,40,40,Frillish,Nidoking,Nidoking
146,513,513,Vaporeon,Weavile,Weavile
282,659,282,Marshtomp,Ferroseed,Marshtomp
473,540,540,Drifloon,Azelf,Azelf
45,633,633,Jigglypuff,Zoroark,Zoroark
116,460,116,Hitmonchan,Wormadam Sandy Cloak,Hitmonchan
341,321,341,Plusle,Makuhita,Plusle
481,59,59,Purugly,Persian,Persian
690,167,690,Braviary,Chikorita,Braviary
637,195,637,Gothorita,Flaaffy,Gothorita
405,581,581,Relicanth,Unfezant,Unfezant
113,291,291,Cubone,Beautifly,Beautifly
314,2,314,Slaking,Ivysaur,Slaking
376,135,376,Baltoy,Electabuzz,Baltoy
516,215,516,Rhyperior,Slowking,Rhyperior
240,459,240,Piloswine,Wormadam Plant Cloak,Piloswine
581,468,581,Unfezant,Cherubi,Unfezant
381,644,381,Armaldo,Vanillite,Armaldo
677,449,677,Cryogonal,Shinx,Cryogonal
607,357,607,Cottonee,Spoink,Cottonee
635,616,635,Cinccino,Darmanitan Standard Mode,Cinccino
333,491,333,Aggron,Spiritomb,Aggron
621,550,550,Scraggy,Darkrai,Darkrai
333,258,333,Aggron,Smoochum,Aggron
136,585,585,Magmar,Boldore,Boldore
280,352,280,Mega Blaziken,Wailord,Mega Blaziken
329,491,329,Mawile,Spiritomb,Mawile
59,431,59,Persian,Deoxys Defense Forme,Persian
709,101,709,Landorus Incarnate Forme,Haunter,Landorus Incarnate Forme
779,91,91,Phantump,  Farfetch'd  ,  Farfetch'd  
263,456,263,Raikou,Shieldon,Raikou
189,289,289,Igglybuff,Wurmple,Wurmple
686,538,686,Pawniard,Uxie,Pawniard
487,667,667,Bonsly,Elgyem,Elgyem
272,658,658,Celebi,Galvantula,Galvantula
554,732,732,Victini,Talonflame,Talonflame
510,252,252,Snover,Donphan,Donphan
153,36,153,Kabutops,Nidorina,Kabutops
433,198,198,Turtwig,Bellossom,Bellossom
261,787,787,Miltank,Gourgeist Large Size,Gourgeist Large Size
752,735,735,Aegislash Shield Forme,Vivillon,Vivillon
185,331,185,Chinchou,Aron,Chinchou
118,756,756,Koffing,Slurpuff,Slurpuff
442,512,512,Starly,Mega Abomasnow,Mega Abomasnow
475,470,475,Buneary,Shellos,Buneary
778,780,778,Klefki,Trevenant,Klefki
41,376,376,Clefairy,Baltoy,Baltoy
128,391,128,Goldeen,Tropius,Goldeen
620,349,349,Crustle,Sharpedo,Sharpedo
657,464,657,Joltik,Vespiquen,Joltik
388,720,388,Mega Banette,Quilladin,Mega Banette
237,176,176,Slugma,Sentret,Sentret
551,720,551,Shaymin Land Forme,Quilladin,Shaymin Land Forme
162,290,162,Dragonite,Silcoon,Dragonite
793,791,793,Xerneas,Noibat,Xerneas
235,223,223,Teddiursa,Gligar,Gligar
331,732,732,Aron,Talonflame,Talonflame
217,3,3,Unown,Venusaur,Venusaur
784,7,7,Pumpkaboo Super Size,Charizard,Charizard
462,304,462,Mothim,Ralts,Mothim
506,641,506,Carnivine,Reuniclus,Carnivine
257,135,135,Hitmontop,Electabuzz,Electabuzz
280,80,80,Mega Blaziken,Tentacruel,Tentacruel
580,223,223,Tranquill,Gligar,Gligar
572,457,572,Simisage,Bastiodon,Simisage
91,456,91,  Farfetch'd  ,Shieldon,  Farfetch'd  
137,679,679,Pinsir,Accelgor,Accelgor
799,496,799,Hoopa Unbound,Munchlax,Hoopa Unbound
684,19,19,Golett,Beedrill,Beedrill
305,372,372,Kirlia,Barboach,Barboach
395,580,580,Wynaut,Tranquill,Tranquill
589,560,589,Drilbur,Emboar,Drilbur
115,257,115,Hitmonlee,Hitmontop,Hitmonlee
648,145,648,Sawsbuck,Eevee,Sawsbuck
162,569,162,Dragonite,Purrloin,Dragonite
251,535,251,Phanpy,Frost Rotom,Phanpy
453,760,453,Roserade,Barbaracle,Roserade
124,136,136,Kangaskhan,Magmar,Magmar
563,41,563,Samurott,Clefairy,Samurott
775,430,430,Goomy,DeoxysAttack Forme,DeoxysAttack Forme
159,347,159,Moltres,Swalot,Moltres
92,331,331,Doduo,Aron,Aron
605,650,650,Whirlipede,Karrablast,Karrablast
356,337,337,Torkoal,Mega Medicham,Mega Medicham
710,765,710,Landorus Therian Forme,Helioptile,Landorus Therian Forme
143,211,143,Lapras,Quagsire,Lapras
25,648,648,Rattata,Sawsbuck,Sawsbuck
429,502,429,Deoxys Normal Forme,Skorupi,Deoxys Normal Forme
207,224,224,Sunkern,Steelix,Steelix
108,254,254,Kingler,Stantler,Stantler
3,568,568,Venusaur,Stoutland,Stoutland
114,335,335,Marowak,Meditite,Meditite
719,557,557,Chespin,Serperior,Serperior
31,728,31,Pikachu,Bunnelby,Pikachu
427,481,427,Mega Rayquaza,Purugly,Mega Rayquaza
347,227,347,Swalot,Granbull,Swalot
764,323,764,Clawitzer,Azurill,Clawitzer
406,8,8,Luvdisc,Mega Charizard X,Mega Charizard X
317,289,289,Shedinja,Wurmple,Wurmple
235,248,248,Teddiursa,Houndoom,Houndoom
402,165,165,Clamperl,Mega Mewtwo Y,Mega Mewtwo Y
250,238,250,Kingdra,Magcargo,Kingdra
142,791,142,Mega Gyarados,Noibat,Mega Gyarados
783,640,783,Pumpkaboo Large Size,Duosion,Pumpkaboo Large Size
304,500,304,Ralts,Hippopotas,Ralts
758,449,758,Malamar,Shinx,Malamar
481,361,481,Purugly,Vibrava,Purugly
320,731,731,Exploud,Fletchinder,Fletchinder
741,198,741,Skiddo,Bellossom,Skiddo
729,253,729,Diggersby,Porygon2,Diggersby
637,652,637,Gothorita,Foongus,Gothorita
20,435,20,Mega Beedrill,Torterra,Mega Beedrill
200,436,436,Azumarill,Chimchar,Chimchar
325,47,47,Skitty,Zubat,Zubat
307,565,307,Mega Gardevoir,Watchog,Mega Gardevoir
481,722,481,Purugly,Fennekin,Purugly
507,434,434,Finneon,  Grotle  ,  Grotle  
641,732,732,Reuniclus,Talonflame,Talonflame
428,601,428,Jirachi,Sewaddle,Jirachi
234,307,234,Sneasel,Mega Gardevoir,Sneasel
693,351,693,Heatmor,Wailmer,Heatmor
65,109,109,Arcanine,Voltorb,Voltorb
530,122,122,Dusknoir,Chansey,Chansey
6,611,611,Charmeleon,Basculin,Basculin
443,397,397,Staravia,Glalie,Glalie
11,504,11,Wartortle,Croagunk,Wartortle
57,634,57,Dugtrio,Minccino,Dugtrio
449,349,349,Shinx,Sharpedo,Sharpedo
759,732,732,Binacle,Talonflame,Talonflame
386,303,303,Shuppet,Pelipper,Pelipper
240,290,240,Piloswine,Silcoon,Piloswine
687,668,687,Bisharp,Beheeyem,Bisharp
424,30,424,Groudon,Arbok,Groudon
669,513,513,Litwick,Weavile,Weavile
511,337,337,Abomasnow,Mega Medicham,Mega Medicham
668,794,794,Beheeyem,Yveltal,Yveltal
570,160,570,Liepard,Dratini,Liepard
475,194,475,Buneary,Mareep,Buneary
620,360,620,Crustle,Trapinch,Crustle
304,593,304,Ralts,Timburr,Ralts
319,563,563,Loudred,Samurott,Samurott
557,11,557,Serperior,Wartortle,Serperior
456,521,521,Shieldon,Yanmega,Yanmega
423,560,423,Primal Kyogre,Emboar,Primal Kyogre
194,49,194,Mareep,Oddish,Mareep
11,538,538,Wartortle,Uxie,Uxie
761,470,470,Skrelp,Shellos,Shellos
565,17,565,Watchog,Weedle,Watchog
766,620,620,Heliolisk,Crustle,Crustle
72,770,72,Mega Alakazam,Aurorus,Mega Alakazam
430,632,632,DeoxysAttack Forme,Zorua,Zorua
248,74,248,Houndoom,Machoke,Houndoom
789,335,335,Bergmite,Meditite,Meditite
393,544,544,Absol,Regigigas,Regigigas
485,378,378,Bronzor,Lileep,Lileep
619,543,543,Dwebble,Heatran,Heatran
11,598,598,Wartortle,Seismitoad,Seismitoad
332,197,197,Lairon,Mega Ampharos,Mega Ampharos
14,333,333,Caterpie,Aggron,Aggron
64,334,64,Growlithe,Mega Aggron,Growlithe
76,330,330,Bellsprout,Mega Mawile,Mega Mawile
293,27,27,Dustox,Spearow,Spearow
247,185,185,Houndour,Chinchou,Chinchou
19,700,700,Beedrill,Cobalion,Cobalion
14,420,420,Caterpie,Latios,Latios
393,96,393,Absol,Grimer,Absol
227,730,730,Granbull,Fletchling,Fletchling
417,631,631,Registeel,Garbodor,Garbodor
769,140,769,Amaura,Magikarp,Amaura
41,579,579,Clefairy,Pidove,Pidove
398,785,398,Mega Glalie,Gourgeist Average Size,Mega Glalie
517,739,739,Tangrowth,Floette,Floette
238,603,603,Magcargo,Leavanny,Leavanny
268,597,597,Tyranitar,Palpitoad,Palpitoad
358,276,276,Grumpig,Mega Sceptile,Mega Sceptile
81,6,81,Geodude,Charmeleon,Geodude
105,210,105,Drowzee,Wooper,Drowzee
275,386,275,Sceptile,Shuppet,Sceptile
518,553,553,Electivire,Arceus,Arceus
71,9,71,Alakazam,Mega Charizard Y,Alakazam
795,208,795,Zygarde Half Forme,Sunflora,Zygarde Half Forme
133,449,133,Scyther,Shinx,Scyther
146,581,581,Vaporeon,Unfezant,Unfezant
123,49,123,Tangela,Oddish,Tangela
320,104,104,Exploud,Onix,Onix
604,125,125,Venipede,Mega Kangaskhan,Mega Kangaskhan
101,582,101,Haunter,Blitzle,Haunter
654,189,654,Frillish,Igglybuff,Frillish
509,184,184,Mantyke,Crobat,Crobat
159,287,159,Moltres,Zigzagoon,Moltres
375,133,133,Crawdaunt,Scyther,Scyther
641,561,561,Reuniclus,Oshawott,Oshawott
719,546,546,Chespin,Giratina Origin Forme,Giratina Origin Forme
50,570,570,Gloom,Liepard,Liepard
395,473,473,Wynaut,Drifloon,Drifloon
736,89,736,Litleo,Magnemite,Litleo
624,361,361,Yamask,Vibrava,Vibrava
6,317,317,Charmeleon,Shedinja,Shedinja
577,507,507,Munna,Finneon,Finneon
232,277,232,Heracross,Torchic,Heracross
752,390,390,Aegislash Shield Forme,Dusclops,Dusclops
662,482,662,Klang,Chingling,Klang
154,592,154,Aerodactyl,Mega Audino,Aerodactyl
785,703,703,Gourgeist Average Size,Tornadus Incarnate Forme,Tornadus Incarnate Forme
551,404,551,Shaymin Land Forme,Gorebyss,Shaymin Land Forme
64,744,64,Growlithe,Pangoro,Growlithe
319,741,741,Loudred,Skiddo,Skiddo
560,781,560,Emboar,Pumpkaboo Average Size,Emboar
352,567,567,Wailord,Herdier,Herdier
38,668,38,Nidoran♂,Beheeyem,Nidoran♂
140,278,278,Magikarp,Combusken,Combusken
609,190,609,Petilil,Togepi,Petilil
719,235,235,Chespin,Teddiursa,Teddiursa
426,154,154,Rayquaza,Aerodactyl,Aerodactyl
470,525,525,Shellos,Mamoswine,Mamoswine
26,629,629,Raticate,Archeops,Archeops
354,648,648,Camerupt,Sawsbuck,Sawsbuck
130,333,130,Staryu,Aggron,Staryu
131,241,131,Starmie,Corsola,Starmie
594,339,339,Gurdurr,Manectric,Manectric
759,303,303,Binacle,Pelipper,Pelipper
287,293,293,Zigzagoon,Dustox,Dustox
327,176,176,Sableye,Sentret,Sentret
414,137,414,Mega Metagross,Pinsir,Mega Metagross
443,763,443,Staravia,Clauncher,Staravia
748,712,748,Meowstic Female,Kyurem Black Kyurem,Meowstic Female
466,492,466,Buizel,Gible,Buizel
474,535,535,Drifblim,Frost Rotom,Frost Rotom
89,537,537,Magnemite,Mow Rotom,Mow Rotom
288,775,288,Linoone,Goomy,Linoone
698,443,443,Larvesta,Staravia,Staravia
124,154,154,Kangaskhan,Aerodactyl,Aerodactyl
131,418,131,Starmie,Latias,Starmie
328,283,283,Mega Sableye,Swampert,Swampert
101,157,101,Haunter,Articuno,Haunter
768,136,136,Tyrantrum,Magmar,Magmar
1,54,54,Bulbasaur,Venonat,Venonat
134,505,134,Jynx,Toxicroak,Jynx
41,91,91,Clefairy,  Farfetch'd  ,  Farfetch'd  
88,770,770,Mega Slowbro,Aurorus,Aurorus
668,546,546,Beheeyem,Giratina Origin Forme,Giratina Origin Forme
59,357,59,Persian,Spoink,Persian
581,584,581,Unfezant,Roggenrola,Unfezant
603,784,603,Leavanny,Pumpkaboo Super Size,Leavanny
422,367,422,Kyogre,Mega Altaria,Kyogre
184,324,184,Crobat,Nosepass,Crobat
184,568,184,Crobat,Stoutland,Crobat
79,129,79,Tentacool,Seaking,Tentacool
540,428,540,Azelf,Jirachi,Azelf
520,498,498,Togekiss,Lucario,Lucario
205,70,205,Jumpluff,Kadabra,Jumpluff
372,554,554,Barboach,Victini,Victini
797,478,797,Mega Diancie,Mismagius,Mega Diancie
554,533,554,Victini,Heat Rotom,Victini
623,489,623,Sigilyph,Happiny,Sigilyph
708,143,708,Zekrom,Lapras,Zekrom
710,630,710,Landorus Therian Forme,Trubbish,Landorus Therian Forme
337,515,337,Mega Medicham,Lickilicky,Mega Medicham
451,768,768,Luxray,Tyrantrum,Tyrantrum
44,292,44,Ninetales,Cascoon,Ninetales
382,795,795,Feebas,Zygarde Half Forme,Zygarde Half Forme
284,296,296,Mega Swampert,Ludicolo,Ludicolo
602,315,602,Swadloon,Nincada,Swadloon
611,425,611,Basculin,Primal Groudon,Basculin
762,652,762,Dragalge,Foongus,Dragalge
70,351,70,Kadabra,Wailmer,Kadabra
69,547,69,Abra,Cresselia,Abra
683,86,683,Druddigon,Slowpoke,Druddigon
287,478,478,Zigzagoon,Mismagius,Mismagius
287,432,432,Zigzagoon,Deoxys Speed Forme,Deoxys Speed Forme
737,360,360,Pyroar,Trapinch,Trapinch
425,458,425,Primal Groudon,Burmy,Primal Groudon
212,95,212,Espeon,Dewgong,Espeon
29,408,29,Ekans,Shelgon,Ekans
472,180,472,Ambipom,Ledyba,Ambipom
338,757,338,Electrike,Inkay,Electrike
85,335,85,Rapidash,Meditite,Rapidash
641,119,119,Reuniclus,Weezing,Weezing
440,15,440,Prinplup,Metapod,Prinplup
68,774,68,Poliwrath,Carbink,Poliwrath
321,59,59,Makuhita,Persian,Persian
639,721,721,Solosis,Chesnaught,Chesnaught
499,125,499,Mega Lucario,Mega Kangaskhan,Mega Lucario
641,730,730,Reuniclus,Fletchling,Fletchling
209,26,26,Yanma,Raticate,Raticate
638,110,110,Gothitelle,Electrode,Electrode
753,678,678,Spritzee,Shelmet,Shelmet
634,138,138,Minccino,Mega Pinsir,Mega Pinsir
118,261,261,Koffing,Miltank,Miltank
230,711,711,Mega Scizor,Kyurem,Kyurem
699,48,699,Volcarona,Golbat,Volcarona
282,698,698,Marshtomp,Larvesta,Larvesta
656,723,723,Alomomola,Braixen,Braixen
110,254,110,Electrode,Stantler,Electrode
455,444,444,Rampardos,Staraptor,Staraptor
182,261,261,Spinarak,Miltank,Miltank
690,778,690,Braviary,Klefki,Braviary
637,143,143,Gothorita,Lapras,Lapras
413,44,44,Metagross,Ninetales,Ninetales
226,300,300,Snubbull,Taillow,Taillow
210,660,660,Wooper,Ferrothorn,Ferrothorn
607,627,607,Cottonee,Carracosta,Cottonee
284,609,284,Mega Swampert,Petilil,Mega Swampert
32,472,472,Raichu,Ambipom,Ambipom
772,148,772,Hawlucha,Flareon,Hawlucha
538,533,538,Uxie,Heat Rotom,Uxie
365,678,365,Swablu,Shelmet,Swablu
534,689,534,Wash Rotom,Rufflet,Wash Rotom
579,495,579,Pidove,Mega Garchomp,Pidove
204,26,26,Skiploom,Raticate,Raticate
182,526,526,Spinarak,Porygon-Z,Porygon-Z
119,340,340,Weezing,Mega Manectric,Mega Manectric
146,465,465,Vaporeon,Pachirisu,Pachirisu
348,586,348,Carvanha,Gigalith,Carvanha
458,783,783,Burmy,Pumpkaboo Large Size,Pumpkaboo Large Size
146,778,778,Vaporeon,Klefki,Klefki
230,774,230,Mega Scizor,Carbink,Mega Scizor
765,313,313,Helioptile,Vigoroth,Vigoroth
73,371,371,Machop,Solrock,Solrock
515,9,9,Lickilicky,Mega Charizard Y,Mega Charizard Y
410,202,410,Mega Salamence,Politoed,Mega Salamence
494,537,494,Garchomp,Mow Rotom,Garchomp
333,537,537,Aggron,Mow Rotom,Mow Rotom
737,151,737,Pyroar,Omastar,Pyroar
366,528,528,Altaria,Mega Gallade,Mega Gallade
710,147,710,Landorus Therian Forme,Jolteon,Landorus Therian Forme
545,692,545,Giratina Altered Forme,Mandibuzz,Giratina Altered Forme
687,268,687,Bisharp,Tyranitar,Bisharp
360,412,360,Trapinch,Metang,Trapinch
42,780,42,Clefable,Trevenant,Clefable
485,416,416,Bronzor,Regice,Regice
668,48,48,Beheeyem,Golbat,Golbat
781,471,781,Pumpkaboo Average Size,Gastrodon,Pumpkaboo Average Size
427,94,427,Mega Rayquaza,Seel,Mega Rayquaza
35,61,61,Nidoran♀,Golduck,Golduck
741,334,741,Skiddo,Mega Aggron,Skiddo
227,84,84,Granbull,Ponyta,Ponyta
649,13,649,Emolga,Mega Blastoise,Emolga
569,484,484,Purrloin,Skuntank,Skuntank
710,269,710,Landorus Therian Forme,Mega Tyranitar,Landorus Therian Forme
635,234,234,Cinccino,Sneasel,Sneasel
583,714,583,Zebstrika,Keldeo Ordinary Forme,Zebstrika
441,229,229,Empoleon,Scizor,Scizor
354,761,354,Camerupt,Skrelp,Camerupt
624,646,646,Yamask,Vanilluxe,Vanilluxe
264,4,264,Entei,Mega Venusaur,Entei
670,758,758,Lampent,Malamar,Malamar
700,357,700,Cobalion,Spoink,Cobalion
398,35,398,Mega Glalie,Nidoran♀,Mega Glalie
576,235,576,Simipour,Teddiursa,Simipour
428,704,704,Jirachi,Tornadus Therian Forme,Tornadus Therian Forme
791,79,79,Noibat,Tentacool,Tentacool
600,662,600,Sawk,Klang,Sawk
248,683,248,Houndoom,Druddigon,Houndoom
277,431,431,Torchic,Deoxys Defense Forme,Deoxys Defense Forme
471,165,165,Gastrodon,Mega Mewtwo Y,Mega Mewtwo Y
341,230,341,Plusle,Mega Scizor,Plusle
169,627,169,Meganium,Carracosta,Meganium
292,79,79,Cascoon,Tentacool,Tentacool
42,259,259,Clefable,Elekid,Elekid
312,460,460,Slakoth,Wormadam Sandy Cloak,Wormadam Sandy Cloak
166,478,478,Mew,Mismagius,Mismagius
722,587,587,Fennekin,Woobat,Woobat
112,522,522,Exeggutor,Leafeon,Leafeon
304,389,304,Ralts,Duskull,Ralts
278,748,748,Combusken,Meowstic Female,Meowstic Female
562,453,453,Dewott,Roserade,Roserade
7,56,7,Charizard,Diglett,Charizard
522,531,531,Leafeon,Froslass,Froslass
140,758,140,Magikarp,Malamar,Magikarp
23,198,23,Pidgeot,Bellossom,Pidgeot
413,383,383,Metagross,Milotic,Milotic
677,751,751,Cryogonal,Aegislash Blade Forme,Aegislash Blade Forme
105,397,397,Drowzee,Glalie,Glalie
119,125,125,Weezing,Mega Kangaskhan,Mega Kangaskhan
650,622,650,Karrablast,Scrafty,Karrablast
334,497,497,Mega Aggron,Riolu,Riolu
527,401,527,Gallade,Walrein,Gallade
710,798,710,Landorus Therian Forme,Hoopa Confined,Landorus Therian Forme
311,252,311,Breloom,Donphan,Breloom
343,171,343,Volbeat,Quilava,Volbeat
333,275,275,Aggron,Sceptile,Sceptile
20,494,20,Mega Beedrill,Garchomp,Mega Beedrill
288,524,288,Linoone,Gliscor,Linoone
614,455,614,Krookodile,Rampardos,Krookodile
286,642,286,Mightyena,Ducklett,Mightyena
701,766,766,Terrakion,Heliolisk,Heliolisk
386,640,386,Shuppet,Duosion,Shuppet
694,487,694,Durant,Bonsly,Durant
83,268,268,Golem,Tyranitar,Tyranitar
273,564,273,Treecko,Patrat,Treecko
605,36,36,Whirlipede,Nidorina,Nidorina
615,344,615,Darumaka,Illumise,Darumaka
639,785,785,Solosis,Gourgeist Average Size,Gourgeist Average Size
251,102,102,Phanpy,Gengar,Gengar
267,147,147,Pupitar,Jolteon,Jolteon
2,796,2,Ivysaur,Diancie,Ivysaur
621,152,152,Scraggy,Kabuto,Kabuto
730,150,730,Fletchling,Omanyte,Fletchling
42,160,42,Clefable,Dratini,Clefable
778,627,778,Klefki,Carracosta,Klefki
657,332,657,Joltik,Lairon,Joltik
445,777,777,Bidoof,Goodra,Goodra
160,514,514,Dratini,Magnezone,Magnezone
422,389,422,Kyogre,Duskull,Kyogre
316,241,316,Ninjask,Corsola,Ninjask
791,348,348,Noibat,Carvanha,Carvanha
780,26,26,Trevenant,Raticate,Raticate
250,527,250,Kingdra,Gallade,Kingdra
625,629,629,Cofagrigus,Archeops,Archeops
40,365,365,Nidoking,Swablu,Swablu
679,501,679,Accelgor,Hippowdon,Accelgor
651,349,349,Escavalier,Sharpedo,Sharpedo
111,707,707,Exeggcute,Reshiram,Reshiram
567,394,394,Herdier,Mega Absol,Mega Absol
524,167,524,Gliscor,Chikorita,Gliscor
212,666,212,Espeon,Eelektross,Espeon
607,76,76,Cottonee,Bellsprout,Bellsprout
410,701,410,Mega Salamence,Terrakion,Mega Salamence
457,356,457,Bastiodon,Torkoal,Bastiodon
626,460,460,Tirtouga,Wormadam Sandy Cloak,Wormadam Sandy Cloak
580,614,614,Tranquill,Krookodile,Krookodile
69,586,586,Abra,Gigalith,Gigalith
615,539,539,Darumaka,Mesprit,Mesprit
530,173,530,Dusknoir,Totodile,Dusknoir
561,259,259,Oshawott,Elekid,Elekid
6,300,300,Charmeleon,Taillow,Taillow
87,211,211,Slowbro,Quagsire,Quagsire
414,223,414,Mega Metagross,Gligar,Mega Metagross
636,94,94,Gothita,Seel,Seel
55,667,55,Venomoth,Elgyem,Venomoth
486,598,598,Bronzong,Seismitoad,Seismitoad
414,498,414,Mega Metagross,Lucario,Mega Metagross
6,15,6,Charmeleon,Metapod,Charmeleon
628,265,265,Archen,Suicune,Suicune
377,21,377,Claydol,Pidgey,Claydol
60,726,726,Psyduck,Frogadier,Frogadier
533,547,533,Heat Rotom,Cresselia,Heat Rotom
19,295,19,Beedrill,Lombre,Beedrill
353,550,550,Numel,Darkrai,Darkrai
95,467,467,Dewgong,Floatzel,Floatzel
245,481,481,Mantine,Purugly,Purugly
460,715,715,Wormadam Sandy Cloak,Keldeo Resolute Forme,Keldeo Resolute Forme
142,422,422,Mega Gyarados,Kyogre,Kyogre
174,188,174,Croconaw,Cleffa,Croconaw
116,218,116,Hitmonchan,Wobbuffet,Hitmonchan
703,799,703,Tornadus Incarnate Forme,Hoopa Unbound,Tornadus Incarnate Forme
232,437,232,Heracross,Monferno,Heracross
280,402,280,Mega Blaziken,Clamperl,Mega Blaziken
126,209,209,Horsea,Yanma,Yanma
200,524,524,Azumarill,Gliscor,Gliscor
592,292,592,Mega Audino,Cascoon,Mega Audino
190,195,195,Togepi,Flaaffy,Flaaffy
698,118,698,Larvesta,Koffing,Larvesta
50,64,64,Gloom,Growlithe,Growlithe
196,716,716,Ampharos,Meloetta Aria Forme,Meloetta Aria Forme
461,313,313,Wormadam Trash Cloak,Vigoroth,Vigoroth
448,97,448,Kricketune,Muk,Kricketune
401,262,401,Walrein,Blissey,Walrein
255,152,255,Smeargle,Kabuto,Smeargle
403,642,642,Huntail,Ducklett,Ducklett
360,362,362,Trapinch,Flygon,Flygon
510,362,362,Snover,Flygon,Flygon
724,412,724,Delphox,Metang,Delphox
141,789,141,Gyarados,Bergmite,Gyarados
355,780,780,Mega Camerupt,Trevenant,Trevenant
392,585,585,Chimecho,Boldore,Boldore
70,691,691,Kadabra,Vullaby,Vullaby
142,637,142,Mega Gyarados,Gothorita,Mega Gyarados
424,440,424,Groudon,Prinplup,Groudon
530,673,673,Dusknoir,Fraxure,Fraxure
87,746,746,Slowbro,Espurr,Espurr
233,755,233,Mega Heracross,Swirlix,Mega Heracross
293,274,274,Dustox,Grovyle,Grovyle
339,332,339,Manectric,Lairon,Manectric
3,669,3,Venusaur,Litwick,Venusaur
189,391,391,Igglybuff,Tropius,Tropius
39,302,302,Nidorino,Wingull,Wingull
602,75,75,Swadloon,Machamp,Machamp
39,179,179,Nidorino,Noctowl,Noctowl
749,467,467,Honedge,Floatzel,Floatzel
89,755,755,Magnemite,Swirlix,Swirlix
632,22,22,Zorua,Pidgeotto,Pidgeotto
349,599,349,Sharpedo,Throh,Sharpedo
170,235,170,Cyndaquil,Teddiursa,Cyndaquil
775,323,775,Goomy,Azurill,Goomy
186,552,552,Lanturn,Shaymin Sky Forme,Shaymin Sky Forme
317,665,665,Shedinja,Eelektrik,Eelektrik
675,376,376,Cubchoo,Baltoy,Baltoy
485,294,294,Bronzor,Lotad,Lotad
127,81,127,Seadra,Geodude,Seadra
616,690,616,Darmanitan Standard Mode,Braviary,Darmanitan Standard Mode
319,451,451,Loudred,Luxray,Luxray
362,667,362,Flygon,Elgyem,Flygon
418,170,418,Latias,Cyndaquil,Latias
619,138,138,Dwebble,Mega Pinsir,Mega Pinsir
777,617,777,Goodra,Darmanitan Zen Mode,Goodra
340,517,517,Mega Manectric,Tangrowth,Tangrowth
410,798,410,Mega Salamence,Hoopa Confined,Mega Salamence
5,763,5,Charmander,Clauncher,Charmander
180,181,181,Ledyba,Ledian,Ledian
249,505,249,Mega Houndoom,Toxicroak,Mega Houndoom
130,641,641,Staryu,Reuniclus,Reuniclus
375,712,712,Crawdaunt,Kyurem Black Kyurem,Kyurem Black Kyurem
707,152,707,Reshiram,Kabuto,Reshiram
781,639,781,Pumpkaboo Average Size,Solosis,Pumpkaboo Average Size
379,3,3,Cradily,Venusaur,Venusaur
703,270,703,Tornadus Incarnate Forme,Lugia,Tornadus Incarnate Forme
598,756,598,Seismitoad,Slurpuff,Seismitoad
460,725,725,Wormadam Sandy Cloak,Froakie,Froakie
159,462,159,Moltres,Mothim,Moltres
438,282,438,Infernape,Marshtomp,Infernape
778,312,778,Klefki,Slakoth,Klefki
428,760,428,Jirachi,Barbaracle,Jirachi
5,443,443,Charmander,Staravia,Staravia
48,451,48,Golbat,Luxray,Golbat
681,590,590,Mienfoo,Excadrill,Excadrill
300,598,300,Taillow,Seismitoad,Taillow
281,441,441,Mudkip,Empoleon,Empoleon
488,773,773,Mime Jr.,Dedenne,Dedenne
548,313,313,Phione,Vigoroth,Vigoroth
311,657,311,Breloom,Joltik,Breloom
337,398,398,Mega Medicham,Mega Glalie,Mega Glalie
